line_no, Core 0 lines , Core 1 lines
709 , 22 , 25
710 , 0 , 26
711 , 22 , 11
712 , 13 , 42
713 , 39 , 0
714 , 39 , 26
715 , 56 , 24
716 , 39 , 10
717 , 48 , 27
718 , 0 , 37
719 , 45 , 15
720 , 69 , 26
721 , 33 , 11
722 , 34 , 22
723 , 7 , 47
724 , 0 , 19
725 , 25 , 25
726 , 0 , 10
727 , 10 , 37
728 , 72 , 30
729 , 36 , 34
730 , 58 , 15
731 , 52 , 0
732 , 23 , 59
733 , 81 , 18
734 , 30 , 43
735 , 9 , 20
736 , 0 , 17
737 , 30 , 30
738 , 29 , 13
739 , 0 , 0
740 , 0 , 46
741 , 40 , 13
742 , 0 , 31
743 , 33 , 42
744 , 24 , 14
745 , 17 , 9
746 , 8 , 11
747 , 42 , 59
748 , 16 , 16
749 , 52 , 24
750 , 4 , 11
751 , 51 , 0
752 , 0 , 29
753 , 51 , 70
754 , 0 , 22
755 , 15 , 36
756 , 50 , 0
757 , 0 , 44
758 , 17 , 26
759 , 45 , 38
760 , 31 , 72
761 , 66 , 40
762 , 24 , 20
763 , 58 , 39
764 , 20 , 45
765 , 0 , 26
766 , 20 , 37
767 , 10 , 27
768 , 27 , 9
769 , 0 , 0
770 , 82 , 66
771 , 30 , 0
772 , 19 , 0
773 , 30 , 8
774 , 60 , 10
775 , 14 , 50
776 , 44 , 32
777 , 21 , 50
778 , 82 , 21
779 , 26 , 32
780 , 21 , 0
781 , 29 , 81
782 , 12 , 18
783 , 56 , 16
784 , 16 , 35
785 , 16 , 0
786 , 15 , 0
787 , 52 , 52
788 , 29 , 0
789 , 46 , 71
790 , 0 , 15
791 , 25 , 16
792 , 0 , 23
793 , 20 , 22
794 , 42 , 34
795 , 12 , 20
796 , 17 , 44
797 , 0 , 76
798 , 22 , 26
799 , 23 , 7
800 , 19 , 10
801 , 32 , 41
802 , 64 , 0
803 , 0 , 57
804 , 0 , 34
805 , 31 , 6
806 , 31 , 66
807 , 46 , 10
808 , 0 , 40
809 , 47 , 46
810 , 0 , 39
811 , 0 , 57
